document,date,location
No-MM_N1608,1925-12-23,N/A
No-MM_N1609,1925-01-20,N/A
No-MM_N1610,1915-10-15,N/A
No-MM_N1611,1915-10-17,N/A
No-MM_N1612,1922-09,N/A
No-MM_N1614,1915-05-04,N/A
No-MM_N1617,1928-12-12,Oslo
No-MM_N1646,1920-04,N/A
No-MM_N1649,N/A,Kragerø
No-MM_N1651,N/A,Oslo
No-MM_N1655,1910-12-21,Kragerø
No-MM_N1657,1929-04-26,Oslo
No-MM_N1658,N/A,Oslo
No-MM_N1659,1903-10,N/A
No-MM_N1661,1908-07-16,Warnemünde
No-MM_N1662,1908-08-14,Warnemünde
No-MM_N1663,1908-07-16,Warnemünde
No-MM_N1664,1930-07-24,Oslo
No-MM_N1665,1889-03,N/A
No-MM_N1666,1889-03,N/A
No-MM_N1667,1889-05,N/A
No-MM_N1668,1931,N/A
No-MM_N1669,1902-01,Berlin
No-MM_N1673,1919-12,N/A
No-MM_N1674,1929-06-16,Oslo
No-MM_N1675,1923-01,N/A
No-MM_N1676,1923-01-23,Oslo
No-MM_N1677,1921-01-03,Oslo
No-MM_N1682,N/A,Oslo
No-MM_N1683,1932-10-29,Åsgårdstrand
No-MM_N1684,N/A,Oslo
No-MM_N1685,1932-10-29,N/A
No-MM_N1697,1932-10,N/A
No-MM_N1709,1920-03-21,N/A
No-MM_N1710,1906-10,N/A
No-MM_N1715,1908-06,N/A
No-MM_N1716,1920-03-21,Oslo
No-MM_N1720,1896-08,N/A
No-MM_N1721,1896,N/A
No-MM_N1722,1896,N/A
No-MM_N1727,1906%1908,N/A
No-MM_N1728,1931%1933,N/A
No-MM_N1729,1931%1933,N/A
No-MM_N1730,1908-11,N/A
No-MM_N1731,N/A,Oslo
No-MM_N1760,1908,N/A
No-MM_N1761,1909-03,N/A
No-MM_N1762,N/A,Oslo
No-MM_N1763,N/A,Oslo
No-MM_N1764,N/A,Oslo
No-MM_N1766,N/A,Oslo
No-MM_N1774,N/A,Oslo
No-MM_N1784,1891-01,N/A
No-MM_N1790,N/A,Oslo
No-MM_N1792,N/A,Oslo
No-MM_N1797,1914-09,N/A
No-MM_N1798,1906-05-22,N/A
No-MM_N1802,1906-07,N/A
No-MM_N1803,1906-07,N/A
No-MM_N1805,1898%1899,N/A
No-MM_N1806,1899,N/A
No-MM_N1807,1899-04,N/A
No-MM_N1808,1899-04,N/A
No-MM_N1809,1899-04-22,Firenze
No-MM_N1810,1899,N/A
No-MM_N1811,1899-05,N/A
No-MM_N1812,1899,N/A
No-MM_N1813,1899-05-25,Paris
No-MM_N1814,1899-05-25,Paris
No-MM_N1815,1899-05,N/A
No-MM_N1816,1899-06,N/A
No-MM_N1817,1899,N/A
No-MM_N1818,1899,N/A
No-MM_N1819,1899,N/A
No-MM_N1820,1899,N/A
No-MM_N1821,1899,N/A
No-MM_N1823,1899-08,N/A
No-MM_N1824,1899-09,N/A
No-MM_N1825,1899-10,N/A
No-MM_N1826,1899,N/A
No-MM_N1827,1899,N/A
No-MM_N1828,1899,N/A
No-MM_N1829,1899,N/A
No-MM_N1831,1899-12,N/A
No-MM_N1832,1899,N/A
No-MM_N1833,1899,N/A
No-MM_N1836,1899,N/A
No-MM_N1837,1899,N/A
No-MM_N1838,1899,N/A
No-MM_N1839,1899,N/A
No-MM_N1841,1900,N/A
No-MM_N1842,1900,N/A
No-MM_N1843,1899,N/A
No-MM_N1845,1899,N/A
No-MM_N1846,1899,N/A
No-MM_N1847,1899,N/A
No-MM_N1848,1899,N/A
No-MM_N1849,1899,N/A
No-MM_N1850,1899,N/A
No-MM_N1851,1899-12,N/A
No-MM_N1852,1899-12-15,N/A
No-MM_N1853,1899-12,N/A
No-MM_N1854,1899,N/A
No-MM_N1855,1899,N/A
No-MM_N1856,1899,N/A
No-MM_N1858,1899,N/A
No-MM_N1859,1899,N/A
No-MM_N1860,1899-12,N/A
No-MM_N1861,1899,N/A
No-MM_N1862,1899%1900,N/A
No-MM_N1863,1899,N/A
No-MM_N1864,1900,N/A
No-MM_N1865,1900,N/A
No-MM_N1866,1900,N/A
No-MM_N1867,1899,N/A
No-MM_N1868,1900,N/A
No-MM_N1869,1900,N/A
No-MM_N1870,1900,N/A
No-MM_N1871,1900,N/A
No-MM_N1872,1900,N/A
No-MM_N1873,1900,N/A
No-MM_N1874,1900,N/A
No-MM_N1875,1900,N/A
No-MM_N1876,1900,N/A
No-MM_N1877,1900,N/A
No-MM_N1878,1900,N/A
No-MM_N1879,1900,N/A
No-MM_N1880,1900,N/A
No-MM_N1881,1900,N/A
No-MM_N1882,1900,N/A
No-MM_N1883,1900,N/A
No-MM_N1884,1900,N/A
No-MM_N1885,1900,N/A
No-MM_N1886,1900,N/A
No-MM_N1887,1932-05-10,Oslo
No-MM_N1888,1932-05-02,Oslo
No-MM_N1890,1910-12,N/A
No-MM_N1897,1911-12,N/A
No-MM_N1901,1909-02,N/A
No-MM_N1904,1908-05,N/A
No-MM_N1905,1907%1908,N/A
No-MM_N1906,1907,N/A
No-MM_N1908,1908-12-27,København
No-MM_N1909,1926-10-16,N/A
No-MM_N1910,1909-04-20,N/A
No-MM_N1911,1907%1908,N/A
No-MM_N1912,1922-04-22,N/A
No-MM_N1913,1902,N/A
No-MM_N1914,1902-02,N/A
No-MM_N1915,1902-02,N/A
No-MM_N1916,1902,N/A
No-MM_N1917,1902,N/A
No-MM_N1918,1902,N/A
No-MM_N1919,1902,N/A
No-MM_N1920,1902,N/A
No-MM_N1921,1889,N/A
No-MM_N1922,1890-03,N/A
No-MM_N1925,1895%1896,N/A
No-MM_N1928,1907,N/A
No-MM_N1929,1907-03,N/A
No-MM_N1931,1908-10,N/A
No-MM_N1932,1907-03,N/A
No-MM_N1936,N/A,Myrdal
No-MM_N1941,1908-09,N/A
No-MM_N1942,1906-08,N/A
No-MM_N1943,1906-08,N/A
No-MM_N1944,1906-08,N/A
No-MM_N1945,1906-08,N/A
No-MM_N1946,1905-08-25,N/A
No-MM_N1947,1908-09,N/A
No-MM_N1948,1910-12,N/A
No-MM_N1949,1895-06,N/A
No-MM_N1951,1908-09,N/A
No-MM_N1952,1905,N/A
No-MM_N1962,1909-03,N/A
No-MM_N1966,1909-02,N/A
No-MM_N1967,1905,N/A
No-MM_N1968,1900%1901,N/A
No-MM_N1969,1908-09,N/A
No-MM_N1970,1918-09-14,Oslo
No-MM_N1972,1895-03-22,Paris
No-MM_N1975,1927%1933,N/A
No-MM_N1976,1929-02,N/A
No-MM_N1984,N/A,Hvitsten
No-MM_N1994,N/A,Oslo
No-MM_N1995,1909-03-27,København
No-MM_N1997,1905,N/A
No-MM_N1998,1905-12,N/A
No-MM_N1999,1922-05-31,N/A
No-MM_N2000,1922-05-31,N/A
No-MM_N2001,1922-05-31,N/A
No-MM_N2004,1920-10,N/A
No-MM_N2010,1911-04,N/A
No-MM_N2022,1931-11,N/A
No-MM_N2025,1902,N/A
No-MM_N2027,1914-09,N/A
No-MM_N2028,1910-06,N/A
No-MM_N2029,1908-05,N/A
No-MM_N2031,1908-06,N/A
No-MM_N2033,1912-03,N/A
No-MM_N2036,1909-12,N/A
No-MM_N2039,1889-11-25,Paris
No-MM_N2040,1896,N/A
No-MM_N2042,1896,N/A
No-MM_N2043,1901-12%1902-01,N/A
No-MM_N2044,1896,N/A
No-MM_N2045,1893%1894,N/A
No-MM_N2046,1910-04-24,N/A
No-MM_N2050,1896,N/A
No-MM_N2053,1908-03-22,N/A
No-MM_N2054,1907-11,N/A
No-MM_N2056,1908-04-06,N/A
No-MM_N2057,1908,N/A
No-MM_N2058,1908-03-22,N/A
No-MM_N2079,1909-03,N/A
No-MM_N2080,1927-12%1928-01,N/A
No-MM_N2086,1907%1908,N/A
No-MM_N2089,1907,N/A
No-MM_N2126,1906-10,N/A
No-MM_N2163,N/A,Oslo
No-MM_N2173,1926-12-11,Berlin
No-MM_N2174,1926-12-11,N/A
No-MM_N2176,1894-11,N/A
No-MM_N2177,1894-11,N/A
No-MM_N2178,1905-05,N/A
No-MM_N2179,1905-07-25,Danmark
No-MM_N2180,1905-10-20,N/A
No-MM_N2181,1897,N/A
No-MM_N2182,1929-08,N/A
No-MM_N2184,1905-02,N/A
No-MM_N2185,1906-04-15,N/A
No-MM_N2186,1903-10,N/A
No-MM_N2187,1906-05,N/A
No-MM_N2188,1906-05,N/A
No-MM_N2189,1929-02,N/A
No-MM_N2190,1929-02,N/A
No-MM_N2191,N/A,Oslo
No-MM_N2192,1929-02,N/A
No-MM_N2194,1908-04,N/A
No-MM_N2195,1908-04,N/A
No-MM_N2196,1908,N/A
No-MM_N2197,1907,N/A
No-MM_N2200,1902%1904,N/A
No-MM_N2201,1906-01,N/A
No-MM_N2204,1905-12%1906-01,N/A
No-MM_N2208,1905-11-28,Bad Elgersburg
No-MM_N2209,1905-12%1906-01,N/A
No-MM_N2210,1905-07-26,N/A
No-MM_N2211,1905-08,N/A
No-MM_N2212,1916-07-17,Oslo
No-MM_N2214,1896-03,N/A
No-MM_N2215,1910-08-19,N/A
No-MM_N2217,1927-10,N/A
No-MM_N2220,1930-04,N/A
No-MM_N2221,1928-11-01,N/A
No-MM_N2222,1929-06,N/A
No-MM_N2224,1929-06,N/A
No-MM_N2225,1929-06,N/A
No-MM_N2226,1916-05-30,Oslo
No-MM_N2227,1925-08-08,N/A
No-MM_N2229,1918-12-09,Oslo
No-MM_N2232,1927-03,N/A
No-MM_N2234,1930-02,N/A
No-MM_N2235,1927-06,N/A
No-MM_N2239,1927-10,N/A
No-MM_N2247,1916-05-30,N/A
No-MM_N2248,1913-01,N/A
No-MM_N2251,1892-02,N/A
No-MM_N2254,1908-03,N/A
No-MM_N2255,1912-02,N/A
No-MM_N2256,1929-07,N/A
No-MM_N2261,1929-08,N/A
No-MM_N2262,1929-08,N/A
No-MM_N2263,1908-11,N/A
No-MM_N2266,1932-05-22,N/A
No-MM_N2267,N/A,Oslo
No-MM_N2268,1929-02,N/A
No-MM_N2269,1929-03-05,N/A
No-MM_N2271,1929-02-16,N/A
No-MM_N2272,1929-01-29,N/A
No-MM_N2273,1929-02,N/A
No-MM_N2277,1909-12,N/A
No-MM_N2278,1913-09,N/A
No-MM_N2279,1914-03,N/A
No-MM_N2282,1896,N/A
No-MM_N2283,1906-04,N/A
No-MM_N2284,1905-12-20,N/A
No-MM_N2286,1912-11-27,N/A
No-MM_N2287,1904-05-30,Åsgårdstrand
No-MM_N2288,1912-03,N/A
No-MM_N2289,1913-03,N/A
No-MM_N2291,1910-01,N/A
No-MM_N2294,1906,N/A
No-MM_N2295,1906-07,N/A
No-MM_N2297,1905-11-30,Bad Elgersburg
No-MM_N2299,1910-10-20,Kragerø
No-MM_N2301,1912-08,N/A
No-MM_N2302,1912-05,N/A
No-MM_N2304,1907,N/A
No-MM_N2307,1905-02-01,N/A
No-MM_N2308,1905-02-18,Berlin
No-MM_N2309,1905-02-18,N/A
No-MM_N2310,1930-08,N/A
No-MM_N2311,1918-12,N/A
No-MM_N2312,1930-04,N/A
No-MM_N2313,1930-08,N/A
No-MM_N2315,1914-10-24,Moss
No-MM_N2316,1921-10,N/A
No-MM_N2317,1921-09-09,Oslo
No-MM_N2318,1902-12,N/A
No-MM_N2319,1902-12,N/A
No-MM_N2320,1922-05-24,Zürich
No-MM_N2326,1908-04,N/A
No-MM_N2327,1908-12,N/A
No-MM_N2333,1903-01,N/A
No-MM_N2338,1921-05-30,N/A
No-MM_N2339,1922-05,N/A
No-MM_N2341,1909-11,N/A
No-MM_N2344,1922-07,N/A
No-MM_N2349,N/A,Oslo
No-MM_N2350,1930-09,N/A
No-MM_N2353,1897-06-26,Åsgårdstrand
No-MM_N2354,1897-11,N/A
No-MM_N2355,1897-12,N/A
No-MM_N2357,1923-02,N/A
No-MM_N2358,1924-01-16,Oslo
No-MM_N2362,1924-05,N/A
No-MM_N2365,N/A,Oslo
No-MM_N2366,1903-05-25,N/A
No-MM_N2369,1903-05,Lübeck
No-MM_N2370,1903-05,N/A
No-MM_N2372,1903-05,N/A
No-MM_N2375,1903-05-05,N/A
No-MM_N2376,1903-05-05,N/A
No-MM_N2377,1903-05-05,N/A
No-MM_N2381,1903-05,N/A
No-MM_N2383,1903-07-04,Åsgårdstrand
No-MM_N2386,1905-12-20,N/A
No-MM_N2388,1911-02,N/A
No-MM_N2395,N/A,Oslo
No-MM_N2396,1894-04-02,N/A
No-MM_N2397,1913-09,N/A
No-MM_N2399,1895-07-26,Oslo
No-MM_N2400,1895-07-27,Oslo
No-MM_N2403,1905-11-06,N/A
No-MM_N2404,1921%1922,N/A
No-MM_N2405,1929-01,N/A
No-MM_N2406,1929-07,Oslo
No-MM_N2407,1929-07,N/A
No-MM_N2410,1918-10-28,Oslo
No-MM_N2411,1918-12,N/A
No-MM_N2412,1918-12,N/A
No-MM_N2413,1918-12,N/A
No-MM_N2414,1918-12,N/A
No-MM_N2415,1918%1919,N/A
No-MM_N2416,1919-01,N/A
No-MM_N2417,1923-12,N/A
No-MM_N2420,1896-06,N/A
No-MM_N2423,1928-12,N/A
No-MM_N2425,N/A,Oslo
No-MM_N2433,1926-11,N/A
No-MM_N2435,1927-01-02,N/A
No-MM_N2436,1927-01-02,Oslo
No-MM_N2437,1902-12,N/A
No-MM_N2438,1906-12%1907-01,Saaleck
No-MM_N2439,1906-12,N/A
No-MM_N2440,1922-12-11,N/A
No-MM_N2441,1911-07,N/A
No-MM_N2442,1909-01-06,N/A
No-MM_N2443,1908-11-18,N/A
No-MM_N2444,1909-11-23,N/A
No-MM_N2445,1907-04,N/A
No-MM_N2446,1909-01-08,N/A
No-MM_N2447,1906-12,N/A
No-MM_N2448,1906-03,N/A
No-MM_N2449,1906-03,N/A
No-MM_N2450,1906-08,N/A
No-MM_N2451,1906-07,N/A
No-MM_N2452,1912-01,N/A
No-MM_N2453,1914-09-13,Moss
No-MM_N2454,1913-11,N/A
No-MM_N2455,1914-04,N/A
No-MM_N2456,1913-11,N/A
No-MM_N2457,1926-01,N/A
No-MM_N2459,1926-01,N/A
No-MM_N2460,1926-01,N/A
No-MM_N2461,1926-01,N/A
No-MM_N2462,1926-04,N/A
No-MM_N2463,1927-02-07,N/A
No-MM_N2464,1927-02-07,N/A
No-MM_N2465,1924-12,N/A
No-MM_N2466,1924-02,N/A
No-MM_N2467,1926-04,N/A
No-MM_N2468,1929-04,N/A
No-MM_N2470,1929-08,N/A
No-MM_N2471,1906-03,N/A
No-MM_N2477,1926-11,N/A
No-MM_N2478,1926-11,N/A
No-MM_N2479,1926-11,N/A
No-MM_N2481,1908-11-18,N/A
No-MM_N2482,1928-06,N/A
No-MM_N2484,N/A,Hvitsten
No-MM_N2485,1924-02,N/A
No-MM_N2486,1924-02,N/A
No-MM_N2487,1918-12,N/A
No-MM_N2490,1930-02,N/A
No-MM_N2491,1930-02,N/A
No-MM_N2492,1930-02,N/A
No-MM_N2493,1930-02,N/A
No-MM_N2494,1930-02,N/A
No-MM_N2495,1930-02,N/A
No-MM_N2496,1930-02,N/A
No-MM_N2497,1930-02,N/A
No-MM_N2498,1915-01-01,N/A
No-MM_N2499,1932-12-17,Oslo
No-MM_N2503,1923-02,N/A
No-MM_N2504,1923-02,N/A
No-MM_N2508,1920-06,N/A
No-MM_N2509,1929-06,N/A
No-MM_N2510,1921-03-08,Oslo
No-MM_N2514,1930-02,N/A
No-MM_N2515,1906-08-03,Bad Kösen
No-MM_N2519,1909-01-02,København
No-MM_N2522,1908-05-10,N/A
No-MM_N2523,1908-06-27,N/A
No-MM_N2525,1908-11-29,N/A
No-MM_N2526,1906-07-02,N/A
No-MM_N2527,1905-08-28,Tårup
No-MM_N2528,1907-09-24,N/A
No-MM_N2529,1907-06-14,N/A
No-MM_N2532,1906-03-25,Bad Kösen
No-MM_N2533,1913-10,N/A
No-MM_N2534,1929-05-30,Oslo
No-MM_N2535,1931-02,N/A
No-MM_N2537,1929-11,N/A
No-MM_N2538,1931-12,N/A
No-MM_N2539,1932-08,N/A
No-MM_N2540,1927-01-03,Oslo
No-MM_N2541,1922-05-04,N/A
No-MM_N2548,1932-11-06,Oslo
No-MM_N2551,1907-02-26,N/A
No-MM_N2556,1906-05-08,N/A
No-MM_N2557,1906-05,N/A
No-MM_N2558,1906-12-17,Bad Kösen
No-MM_N2559,1906-11-24,Bad Kösen
No-MM_N2560,1906-09-04,N/A
No-MM_N2561,1906-11,N/A
No-MM_N2562,1906-09-03,Bad Kösen
No-MM_N2563,1906-05,N/A
No-MM_N2564,1906,N/A
No-MM_N2566,1906-11-24,N/A
No-MM_N2567,1906,N/A
No-MM_N2568,1906-12-11,Bad Kösen
No-MM_N2569,N/A,Bad Kösen
No-MM_N2573,1906-09-27,N/A
No-MM_N2575,1906-05-08,Bad Kösen
No-MM_N2588,1922-04-29,Bad Nauheim
No-MM_N2593,1906-08-03,N/A
No-MM_N2594,1926-08,N/A
No-MM_N2595,1926-08,N/A
No-MM_N2596,N/A,Oslo
No-MM_N2597,1922-04-28,Bad Nauheim
No-MM_N2601,1906-12-23,Bad Kösen
No-MM_N2602,N/A,Oslo
No-MM_N2608,1927-12-22,Oslo
No-MM_N2611,1926-04,Oslo
No-MM_N2612,1927%1933,N/A
No-MM_N2614,1929-02-24,Oslo
No-MM_N2615,1929-02-24,N/A
No-MM_N2621,1928-02,N/A
No-MM_N2625,1929-10,N/A
No-MM_N2627,1929-08,N/A
No-MM_N2629,1928-01-06,Oslo
No-MM_N2632,1928-01-06,Oslo
No-MM_N2637,1927-06,N/A
No-MM_N2644,1929-08,N/A
No-MM_N2648,1929-08,N/A
No-MM_N2649,1926-12,N/A
No-MM_N2650,1929-08,N/A
No-MM_N2651,1929-08,N/A
No-MM_N2655,1909-03-19,N/A
No-MM_N2659,1909-04,N/A
No-MM_N2663,1919-10,N/A
No-MM_N2664,1897-02-11,Paris
No-MM_N2665,1929-03-06,Oslo
No-MM_N2671,1929-08,N/A
No-MM_N2674,1913-02,N/A
No-MM_N2694,1910-09,N/A
No-MM_N2701,1930-02,N/A
No-MM_N2703,1930-02,N/A
No-MM_N2704,1930-02,N/A
No-MM_N2705,1930-02,N/A
No-MM_N2707,1926-11,N/A
No-MM_N2714,1906,N/A
No-MM_N2715,1911-02,N/A
No-MM_N2719,1922-03-02,Oslo
No-MM_N2723,1927-01,N/A
No-MM_N2724,1924-02-03,Oslo
No-MM_N2725,1911-02,N/A
No-MM_N2729,1924-12,N/A
No-MM_N2731,1929-08,N/A
No-MM_N2732,1929-11,N/A
No-MM_N2737,1925-06,N/A
No-MM_N2738,1912-01-05,N/A
No-MM_N2739,1913-12-25,Moss
No-MM_N2741,1913-06,N/A
No-MM_N2746,N/A,Bad Kösen
No-MM_N2747,1913-06,N/A
No-MM_N2750,N/A,Oslo
No-MM_N2752,1926-06,N/A
No-MM_N2753,1910-01-11,Kragerø
No-MM_N2754,1905,N/A
No-MM_N2755,1892-12,N/A
No-MM_N2757,1896-12-20,Paris
No-MM_N2760,1914,N/A
No-MM_N2761,1906-09,N/A
No-MM_N2763,1909-03-19,N/A
No-MM_N2766,1909-03-19,N/A
No-MM_N2770,1908-06,Warnemünde
No-MM_N2775,1913-08,N/A
No-MM_N2778,1931-12,N/A
No-MM_N2780,1908-11-08,København
No-MM_N2782,1926-11,N/A
No-MM_N2789,1895-01,N/A
No-MM_N2793,N/A,Oslo
No-MM_N2794,N/A,Oslo
No-MM_N2795,1901-11-11,N/A
No-MM_N2796,1901-09-25,N/A
No-MM_N2797,1901-09-25,N/A
No-MM_N2799,1902-12-03,N/A
No-MM_N2800,1903-09-29,Oslo
No-MM_N2801,1903-10-20,Berlin
No-MM_N2802,1903-11-13,Berlin
No-MM_N2803,1903-12-24,N/A
No-MM_N2804,1904-01-03,N/A
No-MM_N2805,1904-01-31,N/A
No-MM_N2806,1904-05-20,N/A
No-MM_N2807,1904-06-23,N/A
No-MM_N2808,1904-07-01,Åsgårdstrand
No-MM_N2809,1904-07-12,N/A
No-MM_N2810,1904-07-27,N/A
No-MM_N2811,1904-10-10,Oslo
No-MM_N2812,1904-10-25,N/A
No-MM_N2813,1904-11-12,N/A
No-MM_N2814,1904-11-10,Åsgårdstrand
No-MM_N2815,1904-11-20,Åsgårdstrand
No-MM_N2816,1904-11-25,Berlin
No-MM_N2817,1904-12-04,Lübeck
No-MM_N2818,1904-12-05,N/A
No-MM_N2819,1904-12-09,N/A
No-MM_N2820,1904-12-03,Lübeck
No-MM_N2821,1904-12-21,Hamburg
No-MM_N2822,1904-12-30,N/A
No-MM_N2823,1905-12-14,N/A
No-MM_N2824,1905-01-15,N/A
No-MM_N2825,1905-01-30,N/A
No-MM_N2826,1905-02-01,N/A
No-MM_N2827,1905-02-07,Berlin
No-MM_N2828,1905-02-10,N/A
No-MM_N2829,1905-03-02,N/A
No-MM_N2830,1905-08-03,N/A
No-MM_N2831,1905-08-11,N/A
No-MM_N2832,1905-08-19,Åsgårdstrand
No-MM_N2833,1905-08-30,N/A
No-MM_N2834,1905-09-26,N/A
No-MM_N2835,1905-09-24,Chemnitz
No-MM_N2836,1905-11-28,Bad Elgersburg
No-MM_N2837,1893-03-04,N/A
No-MM_N2838,1906-08-14,N/A
No-MM_N2839,1906-10-03,N/A
No-MM_N2840,1906-10-10,N/A
No-MM_N2841,1906-11-27,N/A
No-MM_N2842,1906-06-24,N/A
No-MM_N2843,1906-07-06,N/A
No-MM_N2844,1906-10-25,N/A
No-MM_N2845,1906-10-31,N/A
No-MM_N2846,1906-12-23,N/A
No-MM_N2847,1907-01-13,Berlin
No-MM_N2848,1907-01-20,N/A
No-MM_N2849,1907-01-30,Berlin
No-MM_N2850,1907-02-03,N/A
No-MM_N2851,1907-08-27,N/A
No-MM_N2852,1907-12-31,N/A
No-MM_N2853,1908-03-08,Berlin
No-MM_N2854,1908-03-12,N/A
No-MM_N2855,1908-05-07,N/A
No-MM_N2856,1908-10-25,København
No-MM_N2857,1908-12-17,København
No-MM_N2858,1908-05-14,Warnemünde
No-MM_N2859,1908-05-21,N/A
No-MM_N2860,1908-05-30,N/A
No-MM_N2861,1908-07-06,N/A
No-MM_N2862,1908-08-29,N/A
No-MM_N2863,1909-02-04,København
No-MM_N2864,1909-02-28,N/A
No-MM_N2865,1909-03-08,N/A
No-MM_N2866,1909-03-17,København
No-MM_N2867,1909-03-22,N/A
No-MM_N2868,1909-04-02,København
No-MM_N2869,1909-04-06,N/A
No-MM_N2870,1909-04-10,N/A
No-MM_N2871,1909-04-12,N/A
No-MM_N2872,1909-04-13,N/A
No-MM_N2873,1909-04-19,N/A
No-MM_N2874,1909-05-20,N/A
No-MM_N2875,1909-07-22,N/A
No-MM_N2876,1909-09-21,N/A
No-MM_N2877,1909-11-01,N/A
No-MM_N2878,1909-11-19,N/A
No-MM_N2879,1909-12-20,N/A
No-MM_N2880,1913-07-22,N/A
No-MM_N2881,1910-01-14,N/A
No-MM_N2882,1910-05-07,N/A
No-MM_N2883,1911-03-20,Hvitsten
No-MM_N2884,1912-01-21,N/A
No-MM_N2885,1912-02-13,N/A
No-MM_N2886,1912-10-22,N/A
No-MM_N2887,1912-11-16,N/A
No-MM_N2888,1912-12-31,N/A
No-MM_N2889,1913-04-06,N/A
No-MM_N2890,1913-03-06,N/A
No-MM_N2891,1913-07,N/A
No-MM_N2892,1914-03-23,N/A
No-MM_N2893,1914-10-28,N/A
No-MM_N2894,1914-11-20,N/A
No-MM_N2895,1914-11-24,N/A
No-MM_N2896,1914-12-02,N/A
No-MM_N2897,1915-01-10,N/A
No-MM_N2898,1917-11-30,N/A
No-MM_N2899,1919-07-31,N/A
No-MM_N2900,1919-08-08,N/A
No-MM_N2901,1922-10-18,N/A
No-MM_N2902,1920-10-05,N/A
No-MM_N2903,1920-10-07,N/A
No-MM_N2904,1920-10-13,N/A
No-MM_N2905,1920-12-29,Oslo
No-MM_N2906,1922-05-01,N/A
No-MM_N2907,1922-05-08,N/A
No-MM_N2908,1922-05-11,N/A
No-MM_N2909,1922-05-27,N/A
No-MM_N2910,1922-05-30,N/A
No-MM_N2911,1922-05-31,N/A
No-MM_N2912,1922-06-22,N/A
No-MM_N2913,1922-06-25,N/A
No-MM_N2914,1922-09-08,N/A
No-MM_N2915,1924-01-23,N/A
No-MM_N2916,1926-02-19,N/A
No-MM_N2917,1926-05-23,Oslo
No-MM_N2918,1926-05-26,N/A
No-MM_N2919,1926-12-26,N/A
No-MM_N2920,1927-03-12,N/A
No-MM_N2921,1927-10-13,N/A
No-MM_N2922,1913-03,N/A
No-MM_N2924,1927-06,N/A
No-MM_N2925,1927-06,N/A
No-MM_N2931,1920-07,Oslo
No-MM_N2933,N/A,Oslo
No-MM_N2934,1912-12,N/A
No-MM_N2949,N/A,Oslo
No-MM_N2950,N/A,Oslo
No-MM_N2955,N/A,Oslo
No-MM_N2956,N/A,Oslo
No-MM_N2962,N/A,Oslo
No-MM_N2967,N/A,Oslo
No-MM_N2968,N/A,Oslo
No-MM_N2977,1916%1917,N/A
No-MM_N2981,1916-12,N/A
No-MM_N2982,1916%1917,N/A
No-MM_N2983,1916%1917,N/A
No-MM_N2984,1916%1917,N/A
No-MM_N2985,1916%1917,N/A
